, 13.1.2025, 10:56
Diameter[mm] 1.500e+01  Thickness[mm] 2.000e-01  Spacer Capacity[pF] 0.000e+00  Spacer Area[mm^2] 0.000e+00
Fixed value(s) : 
 Freq. [Hz]	 Time  [s]	 Eps'   	 Eps''  	 Sig' [S/cm]	 Sig'' [S/cm]	  Cp' [F]	 Zp' [Ohms]	M Temp [K]	M Time M[s]
 2.5000e+05	 3.4010e+02	 1.6761e+00	 6.2912e-02	 8.7457e-09	-9.3991e-08	 1.3107e-11	 1.2941e+06	 2.8883e+02	 3.5215e+02
 1.2500e+05	 3.4010e+02	 1.6873e+00	 4.6957e-02	 3.2639e-09	-4.7771e-08	 1.3194e-11	 3.4675e+06	 2.8881e+02	 3.5481e+02
 6.2500e+04	 3.4010e+02	 1.6995e+00	 4.3603e-02	 1.5154e-09	-2.4309e-08	 1.3289e-11	 7.4687e+06	 2.8880e+02	 3.5737e+02
 3.1250e+04	 3.4010e+02	 1.7071e+00	 3.2343e-02	 5.6202e-10	-1.2287e-08	 1.3349e-11	 2.0138e+07	 2.8878e+02	 3.6009e+02
 1.5625e+04	 3.4010e+02	 1.7241e+00	 3.0091e-02	 2.6145e-10	-6.2912e-09	 1.3482e-11	 4.3289e+07	 2.8876e+02	 3.6256e+02
 7.8125e+03	 3.4010e+02	 1.7328e+00	 2.5268e-02	 1.0977e-10	-3.1835e-09	 1.3550e-11	 1.0310e+08	 2.8874e+02	 3.6518e+02
 3.9062e+03	 3.4010e+02	 1.7461e+00	 3.1617e-02	 6.8676e-11	-1.6206e-09	 1.3654e-11	 1.6480e+08	 2.8872e+02	 3.6803e+02
 1.9531e+03	 3.4010e+02	 1.7575e+00	 2.8202e-02	 3.0629e-11	-8.2274e-10	 1.3743e-11	 3.6950e+08	 2.8869e+02	 3.7075e+02
 9.7656e+02	 3.4010e+02	 1.7694e+00	 3.0348e-02	 1.6480e-11	-4.1778e-10	 1.3836e-11	 6.8676e+08	 2.8868e+02	 3.7331e+02
 4.8828e+02	 3.4010e+02	 1.7845e+00	 3.1774e-02	 8.6270e-12	-2.1302e-10	 1.3954e-11	 1.3119e+09	 2.8866e+02	 3.7639e+02
 2.4414e+02	 3.4010e+02	 1.7940e+00	 3.4296e-02	 4.6560e-12	-1.0779e-10	 1.4028e-11	 2.4308e+09	 2.8862e+02	 3.7906e+02
 1.2207e+02	 3.4010e+02	 1.8110e+00	 3.9807e-02	 2.7020e-12	-5.5053e-11	 1.4162e-11	 4.1886e+09	 2.8861e+02	 3.8162e+02
 6.1035e+01	 3.4010e+02	 1.8230e+00	 5.4174e-02	 1.8386e-12	-2.7931e-11	 1.4255e-11	 6.1555e+09	 2.8859e+02	 3.8443e+02
 3.0518e+01	 3.4010e+02	 1.8447e+00	 6.2228e-02	 1.0560e-12	-1.4334e-11	 1.4425e-11	 1.0718e+10	 2.8855e+02	 3.8820e+02
 1.5259e+01	 3.4010e+02	 1.8701e+00	 8.2120e-02	 6.9677e-13	-7.3828e-12	 1.4624e-11	 1.6243e+10	 2.8852e+02	 3.9108e+02
 7.6294e+00	 3.4010e+02	 1.9441e+00	 8.9584e-02	 3.8005e-13	-4.0052e-12	 1.5202e-11	 2.9779e+10	 2.8850e+02	 3.9389e+02
 1.9073e+00	 3.4010e+02	 2.4514e+00	 5.8938e-02	 6.2510e-14	-1.5394e-12	 1.9169e-11	 1.8105e+11	 2.8847e+02	 3.9762e+02
 4.7684e-01	 3.4010e+02	 2.1600e+00	 6.2223e-01	 1.6499e-13	-3.0758e-13	 1.6890e-11	 6.8598e+10	 2.8836e+02	 4.0931e+02
 1.0000e-01	 3.4010e+02	 2.7142e+00	 5.6746e-01	 3.1554e-14	-9.5322e-14	 2.1224e-11	 3.5868e+11	 2.8910e+02	 4.6414e+02
 1.0000e+06	 4.6140e+02	 1.5534e+00	 3.8747e-01	 2.1546e-07	-3.0773e-07	 1.2147e-11	 5.2529e+04	 2.8928e+02	 4.6801e+02
 5.0000e+05	 4.6140e+02	 1.6517e+00	 1.9402e-01	 5.3943e-08	-1.8118e-07	 1.2915e-11	 2.0981e+05	 2.8943e+02	 4.7112e+02
 2.5000e+05	 4.6140e+02	 1.6718e+00	 7.9946e-02	 1.1114e-08	-9.3387e-08	 1.3073e-11	 1.0184e+06	 2.8952e+02	 4.7406e+02
 1.2500e+05	 4.6140e+02	 1.6889e+00	 4.7232e-02	 3.2830e-09	-4.7884e-08	 1.3207e-11	 3.4474e+06	 2.8969e+02	 4.7681e+02
 6.2500e+04	 4.6140e+02	 1.7027e+00	 3.7775e-02	 1.3128e-09	-2.4422e-08	 1.3314e-11	 8.6207e+06	 2.8984e+02	 4.7958e+02
 3.1250e+04	 4.6140e+02	 1.7098e+00	 3.0199e-02	 5.2476e-10	-1.2334e-08	 1.3370e-11	 2.1567e+07	 2.8995e+02	 4.8237e+02
 1.5625e+04	 4.6140e+02	 1.7189e+00	 3.0935e-02	 2.6878e-10	-6.2464e-09	 1.3441e-11	 4.2108e+07	 2.9013e+02	 4.8512e+02
 7.8125e+03	 4.6140e+02	 1.7373e+00	 3.4678e-02	 1.5065e-10	-3.2030e-09	 1.3585e-11	 7.5126e+07	 2.9022e+02	 4.8762e+02
 3.9062e+03	 4.6140e+02	 1.7458e+00	 3.2325e-02	 7.0214e-11	-1.6200e-09	 1.3651e-11	 1.6119e+08	 2.9038e+02	 4.9050e+02
 1.9531e+03	 4.6140e+02	 1.7565e+00	 3.1788e-02	 3.4523e-11	-8.2157e-10	 1.3735e-11	 3.2783e+08	 2.9051e+02	 4.9306e+02
 9.7656e+02	 4.6140e+02	 1.7728e+00	 3.2259e-02	 1.7518e-11	-4.1964e-10	 1.3862e-11	 6.4608e+08	 2.9066e+02	 4.9600e+02
