, 10.1.2025, 14:1
Diameter[mm] 1.500e+01  Thickness[mm] 2.000e-01  Spacer Capacity[pF] 0.000e+00  Spacer Area[mm^2] 0.000e+00
Fixed value(s) : 
 Freq. [Hz]	 Time  [s]	 Eps'   	 Eps''  	 Sig' [S/cm]	 Sig'' [S/cm]	  Cp' [F]	 Zp' [Ohms]	M Temp [K]	M Time M[s]
 3.1250e+04	 3.2610e+02	 1.7383e+00	 3.1996e-02	 5.5599e-10	-1.2829e-08	 1.3593e-11	 2.0356e+07	 3.4316e+02	 3.4631e+02
 1.5625e+04	 3.2610e+02	 1.7524e+00	 3.1845e-02	 2.7669e-10	-6.5373e-09	 1.3703e-11	 4.0904e+07	 3.4315e+02	 3.4900e+02
 7.8125e+03	 3.2610e+02	 1.7662e+00	 3.2055e-02	 1.3925e-10	-3.3285e-09	 1.3811e-11	 8.1274e+07	 3.4315e+02	 3.5144e+02
 3.9062e+03	 3.2610e+02	 1.7788e+00	 3.3289e-02	 7.2308e-11	-1.6916e-09	 1.3909e-11	 1.5652e+08	 3.4315e+02	 3.5420e+02
 1.9531e+03	 3.2610e+02	 1.7925e+00	 3.6654e-02	 3.9809e-11	-8.6066e-10	 1.4016e-11	 2.8430e+08	 3.4316e+02	 3.5669e+02
 9.7656e+02	 3.2610e+02	 1.8068e+00	 4.2868e-02	 2.3279e-11	-4.3811e-10	 1.4128e-11	 4.8618e+08	 3.4316e+02	 3.5942e+02
 4.8828e+02	 3.2610e+02	 1.8237e+00	 5.3265e-02	 1.4462e-11	-2.2363e-10	 1.4260e-11	 7.8256e+08	 3.4316e+02	 3.6187e+02
 2.4414e+02	 3.2610e+02	 1.8452e+00	 6.9583e-02	 9.4464e-12	-1.1474e-10	 1.4429e-11	 1.1981e+09	 3.4316e+02	 3.6456e+02
 1.2207e+02	 3.2610e+02	 1.8720e+00	 9.5082e-02	 6.4540e-12	-5.9190e-11	 1.4638e-11	 1.7536e+09	 3.4315e+02	 3.6731e+02
 6.1035e+01	 3.2610e+02	 1.9080e+00	 1.3444e-01	 4.5626e-12	-3.0817e-11	 1.4920e-11	 2.4805e+09	 3.4316e+02	 3.7006e+02
 3.0518e+01	 3.2610e+02	 1.9593e+00	 1.9500e-01	 3.3090e-12	-1.6280e-11	 1.5321e-11	 3.4202e+09	 3.4316e+02	 3.7322e+02
 1.5259e+01	 3.2610e+02	 2.0379e+00	 2.8692e-01	 2.4345e-12	-8.8065e-12	 1.5936e-11	 4.6489e+09	 3.4316e+02	 3.7606e+02
 7.6294e+00	 3.2610e+02	 2.1642e+00	 4.2098e-01	 1.7860e-12	-4.9391e-12	 1.6923e-11	 6.3370e+09	 3.4316e+02	 3.7864e+02
 1.9073e+00	 3.2610e+02	 2.7076e+00	 7.6794e-01	 8.1448e-13	-1.8111e-12	 2.1172e-11	 1.3896e+10	 3.4316e+02	 3.8195e+02
 4.7684e-01	 3.2610e+02	 3.6111e+00	 7.5725e-01	 2.0079e-13	-6.9233e-13	 2.8237e-11	 5.6367e+10	 3.4316e+02	 3.9152e+02
 1.0000e-01	 3.2610e+02	 4.0784e+00	 4.2831e-01	 2.3817e-14	-1.7118e-13	 3.1892e-11	 4.7520e+11	 3.4317e+02	 4.3869e+02
 1.0000e+06	 4.3600e+02	 1.6830e+00	 1.6357e-02	 9.0957e-09	-3.7980e-07	 1.3161e-11	 1.2443e+06	 3.4316e+02	 4.4275e+02
 5.0000e+05	 4.3600e+02	 1.6907e+00	 2.0156e-02	 5.6039e-09	-1.9205e-07	 1.3221e-11	 2.0196e+06	 3.4316e+02	 4.4519e+02
 2.5000e+05	 4.3600e+02	 1.6961e+00	 2.4971e-02	 3.4714e-09	-9.6764e-08	 1.3263e-11	 3.2603e+06	 3.4315e+02	 4.4800e+02
 1.2500e+05	 4.3600e+02	 1.7086e+00	 2.8723e-02	 1.9965e-09	-4.9255e-08	 1.3361e-11	 5.6689e+06	 3.4316e+02	 4.5055e+02
 6.2500e+04	 4.3600e+02	 1.7232e+00	 3.1445e-02	 1.0928e-09	-2.5133e-08	 1.3474e-11	 1.0356e+07	 3.4316e+02	 4.5314e+02
 3.1250e+04	 4.3600e+02	 1.7370e+00	 3.1558e-02	 5.4837e-10	-1.2807e-08	 1.3583e-11	 2.0639e+07	 3.4316e+02	 4.5575e+02
 1.5625e+04	 4.3600e+02	 1.7510e+00	 3.1501e-02	 2.7370e-10	-6.5253e-09	 1.3692e-11	 4.1351e+07	 3.4316e+02	 4.5850e+02
 7.8125e+03	 4.3600e+02	 1.7647e+00	 3.1662e-02	 1.3755e-10	-3.3220e-09	 1.3799e-11	 8.2281e+07	 3.4316e+02	 4.6094e+02
 3.9062e+03	 4.3600e+02	 1.7772e+00	 3.2816e-02	 7.1281e-11	-1.6881e-09	 1.3897e-11	 1.5878e+08	 3.4316e+02	 4.6375e+02
 1.9531e+03	 4.3600e+02	 1.7906e+00	 3.5978e-02	 3.9074e-11	-8.5865e-10	 1.4002e-11	 2.8965e+08	 3.4316e+02	 4.6619e+02
 9.7656e+02	 4.3600e+02	 1.8047e+00	 4.1988e-02	 2.2801e-11	-4.3699e-10	 1.4112e-11	 4.9637e+08	 3.4316e+02	 4.6886e+02
 4.8828e+02	 4.3600e+02	 1.8213e+00	 5.1972e-02	 1.4111e-11	-2.2299e-10	 1.4242e-11	 8.0204e+08	 3.4315e+02	 4.7131e+02
 2.4414e+02	 4.3600e+02	 1.8425e+00	 6.7793e-02	 9.2034e-12	-1.1437e-10	 1.4408e-11	 1.2297e+09	 3.4316e+02	 4.7402e+02
 1.2207e+02	 4.3600e+02	 1.8685e+00	 9.2315e-02	 6.2662e-12	-5.8950e-11	 1.4611e-11	 1.8062e+09	 3.4316e+02	 4.7675e+02
 6.1035e+01	 4.3600e+02	 1.9033e+00	 1.3037e-01	 4.4248e-12	-3.0659e-11	 1.4883e-11	 2.5578e+09	 3.4315e+02	 4.7956e+02
 3.0518e+01	 4.3600e+02	 1.9532e+00	 1.8886e-01	 3.2049e-12	-1.6176e-11	 1.5273e-11	 3.5314e+09	 3.4315e+02	 4.8275e+02
 1.5259e+01	 4.3600e+02	 2.0289e+00	 2.7803e-01	 2.3590e-12	-8.7296e-12	 1.5865e-11	 4.7977e+09	 3.4315e+02	 4.8552e+02
 7.6294e+00	 4.3600e+02	 2.1504e+00	 4.0771e-01	 1.7297e-12	-4.8804e-12	 1.6815e-11	 6.5433e+09	 3.4315e+02	 4.8814e+02
 1.9073e+00	 4.3600e+02	 2.6734e+00	 7.4744e-01	 7.9273e-13	-1.7748e-12	 2.0905e-11	 1.4277e+10	 3.4315e+02	 4.9152e+02
 4.7684e-01	 4.3600e+02	 3.5712e+00	 7.6829e-01	 2.0371e-13	-6.8175e-13	 2.7925e-11	 5.5557e+10	 3.4314e+02	 5.0112e+02
