, 20.12.2024, 14:57
Diameter[mm] 1.500e+01  Thickness[mm] 2.000e-01  Spacer Capacity[pF] 0.000e+00  Spacer Area[mm^2] 0.000e+00
Fixed value(s) : 
 Freq. [Hz]	 Time  [s]	 Eps'   	 Eps''  	 Sig' [S/cm]	 Sig'' [S/cm]	  Cp' [F]	 Zp' [Ohms]	M Temp [K]	M Time M[s]
 5.0000e+05	 6.1640e+02	 2.4100e+00	 1.1728e-01	 3.2607e-08	-3.9203e-07	 1.8845e-11	 3.4710e+05	 3.0315e+02	 6.2754e+02
 2.5000e+05	 6.1640e+02	 2.4590e+00	 1.5080e-01	 2.0964e-08	-2.0282e-07	 1.9228e-11	 5.3987e+05	 3.0315e+02	 6.3019e+02
 1.2500e+05	 6.1640e+02	 2.5256e+00	 1.9620e-01	 1.3638e-08	-1.0604e-07	 1.9749e-11	 8.2988e+05	 3.0314e+02	 6.3288e+02
 6.2500e+04	 6.1640e+02	 2.6158e+00	 2.5533e-01	 8.8736e-09	-5.6154e-08	 2.0454e-11	 1.2754e+06	 3.0315e+02	 6.3532e+02
 3.1250e+04	 6.1640e+02	 2.7369e+00	 3.2640e-01	 5.6718e-09	-3.0182e-08	 2.1402e-11	 1.9954e+06	 3.0315e+02	 6.3804e+02
 1.5625e+04	 6.1640e+02	 2.8952e+00	 4.0533e-01	 3.5217e-09	-1.6466e-08	 2.2639e-11	 3.2137e+06	 3.0315e+02	 6.4050e+02
 7.8125e+03	 6.1640e+02	 3.0930e+00	 4.8632e-01	 2.1127e-09	-9.0925e-09	 2.4186e-11	 5.3570e+06	 3.0315e+02	 6.4300e+02
 3.9062e+03	 6.1640e+02	 3.3297e+00	 5.6432e-01	 1.2258e-09	-5.0603e-09	 2.6037e-11	 9.2331e+06	 3.0315e+02	 6.4575e+02
 1.9531e+03	 6.1640e+02	 3.6018e+00	 6.3512e-01	 6.8978e-10	-2.8257e-09	 2.8164e-11	 1.6408e+07	 3.0314e+02	 6.4819e+02
 9.7656e+02	 6.1640e+02	 3.9044e+00	 6.9688e-01	 3.7843e-10	-1.5772e-09	 3.0531e-11	 2.9907e+07	 3.0315e+02	 6.5100e+02
 4.8828e+02	 6.1640e+02	 4.2317e+00	 7.4879e-01	 2.0331e-10	-8.7746e-10	 3.3090e-11	 5.5668e+07	 3.0314e+02	 6.5350e+02
 2.4414e+02	 6.1640e+02	 4.5917e+00	 7.9631e-01	 1.0811e-10	-4.8760e-10	 3.5905e-11	 1.0469e+08	 3.0314e+02	 6.5871e+02
 1.2207e+02	 6.1640e+02	 4.9440e+00	 8.4264e-01	 5.7197e-11	-2.6771e-10	 3.8660e-11	 1.9787e+08	 3.0315e+02	 6.6119e+02
 6.1035e+01	 6.1640e+02	 5.3002e+00	 9.1613e-01	 3.1093e-11	-1.4595e-10	 4.1445e-11	 3.6399e+08	 3.0314e+02	 6.6382e+02
 3.0518e+01	 6.1640e+02	 5.6782e+00	 1.0553e+00	 1.7908e-11	-7.9387e-11	 4.4401e-11	 6.3198e+08	 3.0315e+02	 6.6969e+02
 1.5259e+01	 6.1640e+02	 6.1020e+00	 1.2938e+00	 1.0978e-11	-4.3290e-11	 4.7716e-11	 1.0310e+09	 3.0315e+02	 6.7244e+02
 7.6294e+00	 6.1640e+02	 6.6079e+00	 1.6873e+00	 7.1582e-12	-2.3791e-11	 5.1671e-11	 1.5811e+09	 3.0315e+02	 6.7522e+02
 1.9073e+00	 6.1640e+02	 8.0297e+00	 3.3399e+00	 3.5423e-12	-7.4558e-12	 6.2789e-11	 3.1950e+09	 3.0315e+02	 6.7875e+02
 4.7684e-01	 6.1640e+02	 1.0472e+01	 8.2391e+00	 2.1846e-12	-2.5116e-12	 8.1890e-11	 5.1807e+09	 3.0315e+02	 6.8857e+02
 1.0000e-01	 6.1640e+02	 1.6934e+01	 2.9442e+01	 1.6372e-12	-8.8605e-13	 1.3242e-10	 6.9130e+09	 3.0314e+02	 7.3927e+02
 1.0000e+06	 7.3650e+02	 2.3794e+00	 9.8417e-02	 5.4726e-08	-7.6701e-07	 1.8606e-11	 2.0681e+05	 3.0314e+02	 7.4475e+02
 5.0000e+05	 7.3650e+02	 2.4210e+00	 1.2335e-01	 3.4295e-08	-3.9508e-07	 1.8931e-11	 3.3001e+05	 3.0315e+02	 7.4719e+02
 2.5000e+05	 7.3650e+02	 2.4728e+00	 1.5893e-01	 2.2094e-08	-2.0474e-07	 1.9336e-11	 5.1225e+05	 3.0314e+02	 7.4982e+02
 1.2500e+05	 7.3650e+02	 2.5433e+00	 2.0682e-01	 1.4375e-08	-1.0727e-07	 1.9888e-11	 7.8729e+05	 3.0314e+02	 7.5225e+02
 6.2500e+04	 7.3650e+02	 2.6388e+00	 2.6842e-01	 9.3285e-09	-5.6955e-08	 2.0635e-11	 1.2132e+06	 3.0314e+02	 7.5500e+02
 3.1250e+04	 7.3650e+02	 2.7667e+00	 3.4167e-01	 5.9371e-09	-3.0699e-08	 2.1634e-11	 1.9063e+06	 3.0314e+02	 7.5757e+02
 1.5625e+04	 7.3650e+02	 2.9325e+00	 4.2194e-01	 3.6660e-09	-1.6790e-08	 2.2931e-11	 3.0872e+06	 3.0314e+02	 7.6038e+02
 7.8125e+03	 7.3650e+02	 3.1383e+00	 5.0331e-01	 2.1865e-09	-9.2894e-09	 2.4541e-11	 5.1761e+06	 3.0315e+02	 7.6282e+02
 3.9062e+03	 7.3650e+02	 3.3826e+00	 5.8125e-01	 1.2626e-09	-5.1752e-09	 2.6450e-11	 8.9641e+06	 3.0314e+02	 7.6558e+02
 1.9531e+03	 7.3650e+02	 3.6619e+00	 6.5216e-01	 7.0828e-10	-2.8910e-09	 2.8634e-11	 1.5979e+07	 3.0315e+02	 7.6800e+02
 9.7656e+02	 7.3650e+02	 3.9712e+00	 7.1425e-01	 3.8786e-10	-1.6135e-09	 3.1054e-11	 2.9180e+07	 3.0315e+02	 7.7044e+02
 4.8828e+02	 7.3650e+02	 4.3046e+00	 7.6790e-01	 2.0850e-10	-8.9726e-10	 3.3661e-11	 5.4283e+07	 3.0314e+02	 7.7319e+02
 2.4414e+02	 7.3650e+02	 4.6712e+00	 8.2008e-01	 1.1133e-10	-4.9839e-10	 3.6527e-11	 1.0166e+08	 3.0315e+02	 7.7852e+02
