, 20.12.2024, 17:18
Diameter[mm] 1.500e+01  Thickness[mm] 2.000e-01  Spacer Capacity[pF] 0.000e+00  Spacer Area[mm^2] 0.000e+00
Fixed value(s) : 
 Freq. [Hz]	 Time  [s]	 Eps'   	 Eps''  	 Sig' [S/cm]	 Sig'' [S/cm]	  Cp' [F]	 Zp' [Ohms]	M Temp [K]	M Time M[s]
 1.0000e+06	 5.0710e+02	 2.5969e+00	 2.0800e-01	 1.1566e-07	-8.8796e-07	 2.0307e-11	 9.7852e+04	 3.0315e+02	 5.1894e+02
 5.0000e+05	 5.0710e+02	 2.6860e+00	 2.7163e-01	 7.5521e-08	-4.6875e-07	 2.1003e-11	 1.4986e+05	 3.0315e+02	 5.2161e+02
 2.5000e+05	 5.0710e+02	 2.8082e+00	 3.5775e-01	 4.9733e-08	-2.5137e-07	 2.1959e-11	 2.2757e+05	 3.0315e+02	 5.2419e+02
 1.2500e+05	 5.0710e+02	 2.9760e+00	 4.6198e-01	 3.2111e-08	-1.3735e-07	 2.3271e-11	 3.5246e+05	 3.0315e+02	 5.2696e+02
 6.2500e+04	 5.0710e+02	 3.1964e+00	 5.7973e-01	 2.0148e-08	-7.6335e-08	 2.4995e-11	 5.6174e+05	 3.0314e+02	 5.2944e+02
 3.1250e+04	 5.0710e+02	 3.4720e+00	 7.0753e-01	 1.2295e-08	-4.2956e-08	 2.7150e-11	 9.2054e+05	 3.0315e+02	 5.3219e+02
 1.5625e+04	 5.0710e+02	 3.8052e+00	 8.4552e-01	 7.3462e-09	-2.4373e-08	 2.9755e-11	 1.5406e+06	 3.0315e+02	 5.3463e+02
 7.8125e+03	 5.0710e+02	 4.2004e+00	 9.9572e-01	 4.3256e-09	-1.3903e-08	 3.2845e-11	 2.6164e+06	 3.0315e+02	 5.3707e+02
 3.9062e+03	 5.0710e+02	 4.6738e+00	 1.1611e+00	 2.5220e-09	-7.9799e-09	 3.6547e-11	 4.4876e+06	 3.0316e+02	 5.4232e+02
 1.9531e+03	 5.0710e+02	 5.1808e+00	 1.3464e+00	 1.4623e-09	-4.5406e-09	 4.0512e-11	 7.7398e+06	 3.0315e+02	 5.4483e+02
 9.7656e+02	 5.0710e+02	 5.7177e+00	 1.6124e+00	 8.7557e-10	-2.5618e-09	 4.4710e-11	 1.2926e+07	 3.0315e+02	 5.4744e+02
 4.8828e+02	 5.0710e+02	 6.2971e+00	 2.0792e+00	 5.6454e-10	-1.4382e-09	 4.9241e-11	 2.0048e+07	 3.0314e+02	 5.4988e+02
 2.4414e+02	 5.0710e+02	 6.9858e+00	 2.9376e+00	 3.9880e-10	-8.1261e-10	 5.4626e-11	 2.8379e+07	 3.0315e+02	 5.5271e+02
 1.2207e+02	 5.0710e+02	 7.9012e+00	 4.4801e+00	 3.0410e-10	-4.6844e-10	 6.1784e-11	 3.7217e+07	 3.0314e+02	 5.5519e+02
 6.1035e+01	 5.0710e+02	 9.2256e+00	 7.2240e+00	 2.4518e-10	-2.7917e-10	 7.2141e-11	 4.6161e+07	 3.0314e+02	 5.5788e+02
 3.0518e+01	 5.0710e+02	 1.1233e+01	 1.2111e+01	 2.0552e-10	-1.7365e-10	 8.7837e-11	 5.5068e+07	 3.0315e+02	 5.6069e+02
 1.5259e+01	 5.0710e+02	 1.4414e+01	 2.0807e+01	 1.7655e-10	-1.1382e-10	 1.1271e-10	 6.4106e+07	 3.0315e+02	 5.6352e+02
 7.6294e+00	 5.0710e+02	 1.9672e+01	 3.6345e+01	 1.5419e-10	-7.9216e-11	 1.5383e-10	 7.3401e+07	 3.0315e+02	 5.6615e+02
 1.9073e+00	 5.0710e+02	 4.4407e+01	 1.1310e+02	 1.1996e-10	-4.6037e-11	 3.4724e-10	 9.4349e+07	 3.0314e+02	 5.6907e+02
 4.7684e-01	 5.0710e+02	 1.2011e+02	 3.5585e+02	 9.4355e-11	-3.1581e-11	 9.3919e-10	 1.1995e+08	 3.0315e+02	 5.8050e+02
 1.0000e-01	 5.0710e+02	 3.8162e+02	 1.2907e+03	 7.1770e-11	-2.1165e-11	 2.9842e-09	 1.5769e+08	 3.0315e+02	 6.1091e+02
 1.0000e+06	 6.0820e+02	 2.5975e+00	 2.0810e-01	 1.1572e-07	-8.8832e-07	 2.0312e-11	 9.7804e+04	 3.0315e+02	 6.2040e+02
 5.0000e+05	 6.0820e+02	 2.6870e+00	 2.7186e-01	 7.5585e-08	-4.6903e-07	 2.1011e-11	 1.4973e+05	 3.0315e+02	 6.2288e+02
 2.5000e+05	 6.0820e+02	 2.8095e+00	 3.5836e-01	 4.9817e-08	-2.5154e-07	 2.1969e-11	 2.2718e+05	 3.0315e+02	 6.2566e+02
 1.2500e+05	 6.0820e+02	 2.9776e+00	 4.6263e-01	 3.2156e-08	-1.3746e-07	 2.3284e-11	 3.5196e+05	 3.0315e+02	 6.2813e+02
 6.2500e+04	 6.0820e+02	 3.1983e+00	 5.8070e-01	 2.0182e-08	-7.6399e-08	 2.5009e-11	 5.6079e+05	 3.0315e+02	 6.3057e+02
 3.1250e+04	 6.0820e+02	 3.4743e+00	 7.0883e-01	 1.2317e-08	-4.2996e-08	 2.7168e-11	 9.1884e+05	 3.0315e+02	 6.3344e+02
 1.5625e+04	 6.0820e+02	 3.8081e+00	 8.4724e-01	 7.3613e-09	-2.4398e-08	 2.9778e-11	 1.5375e+06	 3.0315e+02	 6.3594e+02
 7.8125e+03	 6.0820e+02	 4.2040e+00	 9.9803e-01	 4.3357e-09	-1.3919e-08	 3.2874e-11	 2.6104e+06	 3.0315e+02	 6.3857e+02
 3.9062e+03	 6.0820e+02	 4.6784e+00	 1.1644e+00	 2.5292e-09	-7.9898e-09	 3.6583e-11	 4.4748e+06	 3.0314e+02	 6.4388e+02
 1.9531e+03	 6.0820e+02	 5.1867e+00	 1.3510e+00	 1.4672e-09	-4.5470e-09	 4.0558e-11	 7.7136e+06	 3.0315e+02	 6.4632e+02
 9.7656e+02	 6.0820e+02	 5.7249e+00	 1.6195e+00	 8.7941e-10	-2.5658e-09	 4.4767e-11	 1.2870e+07	 3.0315e+02	 6.4883e+02
 4.8828e+02	 6.0820e+02	 6.3067e+00	 2.0905e+00	 5.6761e-10	-1.4408e-09	 4.9316e-11	 1.9939e+07	 3.0315e+02	 6.5125e+02
 2.4414e+02	 6.0820e+02	 6.9993e+00	 2.9556e+00	 4.0124e-10	-8.1445e-10	 5.4732e-11	 2.8207e+07	 3.0315e+02	 6.5394e+02
 1.2207e+02	 6.0820e+02	 7.9205e+00	 4.5107e+00	 3.0618e-10	-4.6975e-10	 6.1935e-11	 3.6964e+07	 3.0315e+02	 6.5657e+02
 6.1035e+01	 6.0820e+02	 9.2543e+00	 7.2727e+00	 2.4683e-10	-2.8014e-10	 7.2365e-11	 4.5852e+07	 3.0315e+02	 6.5913e+02
 3.0518e+01	 6.0820e+02	 1.1279e+01	 1.2192e+01	 2.0690e-10	-1.7444e-10	 8.8201e-11	 5.4701e+07	 3.0315e+02	 6.6207e+02
 1.5259e+01	 6.0820e+02	 1.4486e+01	 2.0967e+01	 1.7790e-10	-1.1442e-10	 1.1327e-10	 6.3618e+07	 3.0315e+02	 6.6490e+02
 7.6294e+00	 6.0820e+02	 1.9799e+01	 3.6607e+01	 1.5530e-10	-7.9752e-11	 1.5482e-10	 7.2876e+07	 3.0316e+02	 6.6733e+02
 1.9073e+00	 6.0820e+02	 4.4411e+01	 1.1392e+02	 1.2082e-10	-4.6042e-11	 3.4728e-10	 9.3675e+07	 3.0316e+02	 6.7018e+02
 4.7684e-01	 6.0820e+02	 1.1994e+02	 3.5616e+02	 9.4437e-11	-3.1536e-11	 9.3785e-10	 1.1984e+08	 3.0315e+02	 6.8150e+02
 1.0000e-01	 6.0820e+02	 3.8174e+02	 1.2997e+03	 7.2272e-11	-2.1171e-11	 2.9850e-09	 1.5660e+08	 3.0315e+02	 7.1186e+02
