, 19.12.2024, 13:26
Diameter[mm] 1.500e+01  Thickness[mm] 2.000e-01  Spacer Capacity[pF] 0.000e+00  Spacer Area[mm^2] 0.000e+00
Fixed value(s) : 
 Freq. [Hz]	 Time  [s]	 Eps'   	 Eps''  	 Sig' [S/cm]	 Sig'' [S/cm]	  Cp' [F]	 Zp' [Ohms]	M Temp [K]	M Time M[s]
 2.4414e+02	 4.5850e+02	 6.5670e+00	 1.8434e+00	 2.5025e-10	-7.5576e-10	 5.1351e-11	 4.5225e+07	 3.2317e+02	 5.0171e+02
 1.2207e+02	 4.5850e+02	 7.3553e+00	 2.4630e+00	 1.6719e-10	-4.3139e-10	 5.7516e-11	 6.7696e+07	 3.2317e+02	 5.0419e+02
 6.1035e+01	 4.5850e+02	 8.3895e+00	 3.3120e+00	 1.1241e-10	-2.5079e-10	 6.5603e-11	 1.0068e+08	 3.2315e+02	 5.0682e+02
 3.0518e+01	 4.5850e+02	 9.6619e+00	 4.5656e+00	 7.7477e-11	-1.4699e-10	 7.5552e-11	 1.4608e+08	 3.2315e+02	 5.0982e+02
 1.5259e+01	 4.5850e+02	 1.1218e+01	 6.6295e+00	 5.6250e-11	-8.6700e-11	 8.7722e-11	 2.0120e+08	 3.2315e+02	 5.1269e+02
 7.6294e+00	 4.5850e+02	 1.3242e+01	 1.0217e+01	 4.3343e-11	-5.1937e-11	 1.0355e-10	 2.6112e+08	 3.2316e+02	 5.1590e+02
 1.9073e+00	 4.5850e+02	 2.0067e+01	 2.7392e+01	 2.9052e-11	-2.0222e-11	 1.5691e-10	 3.8957e+08	 3.2316e+02	 5.1865e+02
 4.7684e-01	 4.5850e+02	 3.6134e+01	 8.2688e+01	 2.1925e-11	-9.3157e-12	 2.8255e-10	 5.1620e+08	 3.2315e+02	 5.2994e+02
 1.0000e-01	 4.5850e+02	 8.6322e+01	 3.1634e+02	 1.7590e-11	-4.7444e-12	 6.7501e-10	 6.4340e+08	 3.2315e+02	 5.7058e+02
 1.0000e+06	 5.6790e+02	 2.5257e+00	 1.8697e-01	 1.0397e-07	-8.4839e-07	 1.9750e-11	 1.0886e+05	 3.2314e+02	 5.7769e+02
 5.0000e+05	 5.6790e+02	 2.6038e+00	 2.5625e-01	 7.1247e-08	-4.4592e-07	 2.0361e-11	 1.5885e+05	 3.2314e+02	 5.8025e+02
 2.5000e+05	 5.6790e+02	 2.7186e+00	 3.5204e-01	 4.8938e-08	-2.3891e-07	 2.1258e-11	 2.3126e+05	 3.2315e+02	 5.8299e+02
 1.2500e+05	 5.6790e+02	 2.8862e+00	 4.6984e-01	 3.2658e-08	-1.3111e-07	 2.2569e-11	 3.4656e+05	 3.2315e+02	 5.8550e+02
 6.2500e+04	 5.6790e+02	 3.1165e+00	 6.0097e-01	 2.0886e-08	-7.3557e-08	 2.4370e-11	 5.4188e+05	 3.2315e+02	 5.8794e+02
 3.1250e+04	 5.6790e+02	 3.4133e+00	 7.3558e-01	 1.2782e-08	-4.1936e-08	 2.6691e-11	 8.8543e+05	 3.2314e+02	 5.9082e+02
 1.5625e+04	 5.6790e+02	 3.7763e+00	 8.6261e-01	 7.4948e-09	-2.4122e-08	 2.9530e-11	 1.5101e+06	 3.2314e+02	 5.9325e+02
 7.8125e+03	 5.6790e+02	 4.1997e+00	 9.7074e-01	 4.2171e-09	-1.3900e-08	 3.2840e-11	 2.6837e+06	 3.2314e+02	 5.9582e+02
 3.9062e+03	 5.6790e+02	 4.6803e+00	 1.0497e+00	 2.2802e-09	-7.9940e-09	 3.6598e-11	 4.9635e+06	 3.2314e+02	 6.0110e+02
 1.9531e+03	 5.6790e+02	 5.1437e+00	 1.1037e+00	 1.1986e-09	-4.5003e-09	 4.0222e-11	 9.4421e+06	 3.2315e+02	 6.0357e+02
 9.7656e+02	 5.6790e+02	 5.5792e+00	 1.2077e+00	 6.5583e-10	-2.4866e-09	 4.3627e-11	 1.7257e+07	 3.2315e+02	 6.0607e+02
 4.8828e+02	 5.6790e+02	 6.0378e+00	 1.4578e+00	 3.9581e-10	-1.3678e-09	 4.7213e-11	 2.8594e+07	 3.2314e+02	 6.0869e+02
 2.4414e+02	 5.6790e+02	 6.6294e+00	 1.9071e+00	 2.5890e-10	-7.6423e-10	 5.1839e-11	 4.3715e+07	 3.2315e+02	 6.1169e+02
 1.2207e+02	 5.6790e+02	 7.4442e+00	 2.5579e+00	 1.7362e-10	-4.3743e-10	 5.8211e-11	 6.5185e+07	 3.2314e+02	 6.1427e+02
 6.1035e+01	 5.6790e+02	 8.5119e+00	 3.4506e+00	 1.1711e-10	-2.5495e-10	 6.6560e-11	 9.6642e+07	 3.2314e+02	 6.1699e+02
 3.0518e+01	 5.6790e+02	 9.8245e+00	 4.7817e+00	 8.1145e-11	-1.4975e-10	 7.6824e-11	 1.3948e+08	 3.2314e+02	 6.1982e+02
 1.5259e+01	 5.6790e+02	 1.1446e+01	 6.9779e+00	 5.9206e-11	-8.8635e-11	 8.9506e-11	 1.9116e+08	 3.2314e+02	 6.2260e+02
 7.6294e+00	 5.6790e+02	 1.3567e+01	 1.0816e+01	 4.5886e-11	-5.3314e-11	 1.0609e-10	 2.4665e+08	 3.2314e+02	 6.2546e+02
 1.9073e+00	 5.6790e+02	 2.0701e+01	 2.8980e+01	 3.0736e-11	-2.0895e-11	 1.6188e-10	 3.6822e+08	 3.2314e+02	 6.2808e+02
 4.7684e-01	 5.6790e+02	 3.8051e+01	 8.8570e+01	 2.3484e-11	-9.8241e-12	 2.9754e-10	 4.8193e+08	 3.2314e+02	 6.3946e+02
 1.0000e-01	 5.6790e+02	 9.1164e+01	 3.3636e+02	 1.8704e-11	-5.0137e-12	 7.1287e-10	 6.0511e+08	 3.2314e+02	 6.8015e+02
 1.0000e+06	 6.7750e+02	 2.5314e+00	 1.9091e-01	 1.0616e-07	-8.5156e-07	 1.9795e-11	 1.0661e+05	 3.2314e+02	 6.8719e+02
 5.0000e+05	 6.7750e+02	 2.6115e+00	 2.6182e-01	 7.2795e-08	-4.4806e-07	 2.0421e-11	 1.5547e+05	 3.2314e+02	 6.8963e+02
 2.5000e+05	 6.7750e+02	 2.7291e+00	 3.5941e-01	 4.9964e-08	-2.4037e-07	 2.1341e-11	 2.2652e+05	 3.2314e+02	 6.9219e+02
 1.2500e+05	 6.7750e+02	 2.9005e+00	 4.7834e-01	 3.3248e-08	-1.3210e-07	 2.2680e-11	 3.4040e+05	 3.2314e+02	 6.9488e+02
 6.2500e+04	 6.7750e+02	 3.1351e+00	 6.1048e-01	 2.1217e-08	-7.4202e-08	 2.4515e-11	 5.3344e+05	 3.2314e+02	 6.9732e+02
 3.1250e+04	 6.7750e+02	 3.4364e+00	 7.4538e-01	 1.2952e-08	-4.2337e-08	 2.6871e-11	 8.7379e+05	 3.2314e+02	 7.0007e+02
 1.5625e+04	 6.7750e+02	 3.8040e+00	 8.7260e-01	 7.5815e-09	-2.4362e-08	 2.9746e-11	 1.4928e+06	 3.2314e+02	 7.0250e+02
 7.8125e+03	 6.7750e+02	 4.2319e+00	 9.8018e-01	 4.2581e-09	-1.4040e-08	 3.3092e-11	 2.6579e+06	 3.2314e+02	 7.0494e+02
 3.9062e+03	 6.7750e+02	 4.7156e+00	 1.0585e+00	 2.2991e-09	-8.0707e-09	 3.6874e-11	 4.9227e+06	 3.2314e+02	 7.1019e+02
 1.9531e+03	 6.7750e+02	 5.1793e+00	 1.1147e+00	 1.2107e-09	-4.5390e-09	 4.0500e-11	 9.3482e+06	 3.2315e+02	 7.1296e+02
 9.7656e+02	 6.7750e+02	 5.6158e+00	 1.2286e+00	 6.6717e-10	-2.5065e-09	 4.3914e-11	 1.6964e+07	 3.2315e+02	 7.1544e+02
